编码,类别,任务名称,频率,执行时间,状态,说明
Alpha1,AI类,Karpathy AI博客精选,每天,7:00,✅运行中,技术趋势跟踪
Beta1,AI类,AI三巨头监控,每天,7:05,✅运行中,竞争情报收集
Gamma1,AI类,AI资本风向监控-日报,每天,8:35,⏸️待激活,资本视角-6家顶级风投
Gamma2,AI类,AI资本风向监控-周报,每周六,8:38,⏸️待激活,资本风向-深度分析
Delta1,AI类,AI政策推手监控-日报,每天,8:40,⏸️待激活,政府视角-中美政策
Delta2,AI类,AI政策推手监控-周报,每周六,8:43,⏸️待激活,政策走向-深度分析
Zeta1,AI类,AI人才流动监控-日报,每天,8:45,⏸️待激活,人才流向监控
Zeta2,AI类,AI人才流动监控-周报,每周六,8:48,⏸️待激活,人才趋势深度分析
Eta2,AI类,AI应用落地监控-周报,每周六,8:53,⏸️待激活,应用视角-ROI量化
Theta1,AI类,AI社会影响监控-日报,每天,9:00,⏸️待激活,尤瓦尔·赫拉利视角
Theta2,AI类,AI社会影响监控-周报,每周六,9:05,⏸️待激活,历史维度深度分析
A1,采购类,电子供应链每日情报简报,每天,7:10,✅运行中,红灯事件+品类趋势
A2,采购类,电子供应链周度战略情报,每周一,7:45,⏸️待激活,深度分析
B1,采购类,供应链风险日报,每天,7:15,✅运行中,21项核心风控指标
B2,采购类,供应链风险监控周报,每周六,8:20,⏸️待激活,完整监控
C1,采购类,政策与法规监控日报,每天,7:20,✅运行中,制裁+政策变化
C2,采购类,政策与法规监控周报,每周一,8:00,⏸️待激活,趋势分析
C3,采购类,政策与法规监控月报,每月1日,8:35,⏸️待激活,战略影响
D1,采购类,宏观财务日报,每天,7:25,✅运行中,原材料+汇率+利率
D2,采购类,宏观财务周报,每周五,8:05,⏸️待激活,周度汇总
E2,采购类,行业市场监控周报,每周一,7:50,⏸️待激活,波特五力+PESTEL
F2,采购类,全球AI采购最佳实践周报,每周五,8:10,⏸️待激活,标杆+ROI
G2,采购类,全球采购心声监控周报,每周六,8:15,⏸️待激活,痛点+情绪
H2,采购类,ESG绿色采购监控周报,每周六,8:25,⏸️待激活,可持续采购
I2,采购类,供应商生态系统监控周报,每周六,8:30,⏸️待激活,供应商动态
